reclat,reclon
42.91411, -78.87706,
42.91431, -78.87706,
42.91442, -78.87706,
42.91453, -78.87706,
42.91466, -78.87705,
42.91478, -78.87705,
42.91490, -78.87705,
42.91503, -78.87705,
42.91514, -78.87705,
42.91522, -78.87705,
42.91528, -78.87705,
42.91531, -78.87705,
42.91533, -78.87705,
42.91535, -78.87705,
42.91537, -78.87705,
42.91542, -78.87705,
42.91546, -78.87705,
42.91558, -78.87705,
42.91570, -78.87705,
42.91581, -78.87704,
42.91593, -78.87704,
42.91605, -78.87704,
42.91617, -78.87704,
42.91627, -78.87704,
42.91640, -78.87704,
42.91650, -78.87704,
42.91659, -78.87704,
42.91665, -78.87704,
42.91669, -78.87704,
42.91673, -78.87704,
42.91676, -78.87704,
42.91678, -78.87704,
42.91682, -78.87704,
42.91686, -78.87704,
42.91693, -78.87704,
42.91700, -78.87704,
42.91708, -78.87704,
42.91717, -78.87704,
42.91726, -78.87704,
42.91736, -78.87703,
42.91747, -78.87703,
42.91752, -78.87703,
42.91768, -78.87703,
42.91778, -78.87703,
42.91789, -78.87703,
42.91800, -78.87703,
42.91810, -78.87703,
42.91820, -78.87703,
42.91822, -78.87703,
42.91836, -78.87705,
42.91841, -78.87704,
42.91844, -78.87704,
42.91846, -78.87702,
42.91848, -78.87702,
42.91851, -78.87702,
42.91845, -78.87702,
42.91860, -78.87702,
42.91867, -78.87702,
42.91881, -78.87702,
42.91890, -78.87702,
42.91899, -78.87702,
42.91908, -78.87702,
42.91918, -78.87702,
42.91928, -78.87702,
42.91939, -78.87702,
42.91946, -78.87702,
42.91960, -78.87701,
42.91970, -78.87701,
42.91981, -78.87701,
42.91991, -78.87701,
42.92001, -78.87701,
42.92011, -78.87701,
42.92022, -78.87701,
42.92032, -78.87701,
42.92046, -78.87701,
42.92055, -78.87701,
42.92066, -78.87701,
42.92075, -78.87701,
42.92084, -78.87701,
42.92092, -78.87701,
42.92102, -78.87701,
42.92117, -78.87701,
42.92136, -78.87701,
42.92147, -78.87701,
